objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587739707405763038,4646,40,3,80,478,6,205.40966759,28.41446079,22.529053,22.224794,22.204363,21.52553,21.452717,0.313886,0.089676,0.123797,0.109498,0.412867
587739707405763039,4646,40,3,80,479,6,205.4149684,28.41267338,24.959095,22.759378,22.333851,21.746988,22.162378,1.011567,0.135547,0.13173,0.125466,0.622944
587739707405763040,4646,40,3,80,480,6,205.41507611,28.41079369,24.224583,22.668879,22.062407,21.825602,21.272581,0.988517,0.126489,0.104928,0.134439,0.339502
587739707405763041,4646,40,3,80,481,6,205.41373332,28.41294291,23.275822,23.085989,22.254215,21.966354,21.668373,0.579139,0.184076,0.129671,0.160292,0.4835
587739707405763047,4646,40,3,80,487,6,205.39250465,28.33416391,18.188543,17.01005,16.492392,16.27099,16.174517,0.014611,4.419101E-3,4.24835E-3,4.644183E-3,7.875089E-3
587739707405763048,4646,40,3,80,488,6,205.39621322,28.33640513,19.654949,18.643394,18.220581,18.030758,17.993237,0.035117,7.850905E-3,7.410924E-3,8.337881E-3,0.023733
587739707405763049,4646,40,3,80,489,6,205.39194378,28.33788635,20.257351,19.272648,19.024174,18.912529,18.94928,0.052572,0.010764,0.011222,0.013651,0.048891
587739707405763050,4646,40,3,80,490,6,205.39246075,28.33617042,21.219589,20.287754,19.995937,19.819517,19.772274,0.108083,0.019772,0.020788,0.025466,0.096337
587739707405763051,4646,40,3,80,491,3,205.39339515,28.33426073,22.932064,20.696629,20.269876,20.263201,19.909618,0.468784,0.039624,0.031614,0.04379,0.120813
587739707405763052,4646,40,3,80,492,6,205.38988148,28.33326014,23.258621,21.89036,21.511024,21.176098,21.591019,0.571137,0.064675,0.067482,0.077537,0.446131
587739707405763053,4646,40,3,80,493,3,205.39471482,28.3346206,24.606464,22.899382,22.671488,21.970013,22.369013,1.146271,0.155769,0.19316,0.160977,0.721774
587739707405763054,4646,40,3,80,494,3,205.39673454,28.33787071,24.248375,22.771021,22.005529,21.808975,21.746607,1.050634,0.136707,0.103219,0.134793,0.503776
587739707405763055,4646,40,3,80,495,6,205.39425305,28.33622828,26.24885,23.776878,22.548399,22.482637,23.45714,0.486886,0.306409,0.160867,0.236761,0.637301
587739707405763056,4646,40,3,80,496,6,205.39057908,28.33467047,24.066975,23.840178,22.778887,22.772148,22.635489,0.95944,0.318422,0.196163,0.299043,0.737448
587739707405763155,4646,40,3,80,595,6,205.39699511,28.33049747,17.097927,15.854486,15.352494,15.156274,15.070492,8.51541E-3,3.645862E-3,3.64124E-3,4.044138E-3,5.130256E-3
