objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587733609092088934,3226,40,4,126,1126,6,250.01783886,36.45578947,25.488085,23.408033,22.248293,22.402548,21.924389,1.339993,0.289777,0.175704,0.284364,0.734658
587733609092088484,3226,40,4,126,676,6,250.02806813,36.46339063,24.04504,22.073917,21.071196,20.607559,20.354031,1.534793,0.091446,0.061636,0.058157,0.201341
587733609092088501,3226,40,4,126,693,3,250.01905107,36.45120582,27.692175,21.627432,26.051205,26.001709,19.865751,0.486574,0.147471,1.254819,0.931669,0.33967
587733609092088512,3226,40,4,126,704,6,250.03034929,36.45448624,24.99287,23.08185,22.361971,21.300106,20.434446,1.605327,0.208312,0.182984,0.102045,0.207472
587733609092088513,3226,40,4,126,705,3,250.0289003,36.45350223,24.030424,24.394859,22.878185,21.323423,21.195702,1.735937,0.733929,0.344441,0.126028,0.500288
587733609092089158,3226,40,4,126,1350,3,250.03053729,36.45993142,22.599567,23.056568,22.249889,21.45273,21.406448,0.751727,0.297861,0.241371,0.172303,0.72276
587733609092088086,3226,40,4,126,278,6,250.00710764,36.46100011,21.142262,19.935524,19.349451,19.181961,19.031843,0.148182,0.018085,0.015953,0.018066,0.060601
587733609092088452,3226,40,4,126,644,3,250.01007327,36.46873368,25.867495,22.23316,20.61639,19.920362,19.443474,1.291525,0.137089,0.05309,0.041235,0.120844
587733609092088462,3226,40,4,126,654,6,250.01684076,36.46853168,23.434177,21.932653,21.446705,21.091919,21.15765,1.043395,0.079922,0.083685,0.087098,0.392192
587733609092088475,3226,40,4,126,667,6,250.0307178,36.46842599,23.688339,23.249731,25.163864,24.071348,22.548222,1.21525,0.235554,0.781868,0.78157,0.877055
587733609092088492,3226,40,4,126,684,6,250.03286455,36.4622161,24.76495,22.609211,21.288412,20.530899,20.337296,1.674506,0.136587,0.070688,0.051864,0.186609
587733609092088519,3226,40,4,126,711,3,250.02106793,36.44809128,23.684069,23.265007,21.625013,20.626593,19.720631,1.487443,0.307276,0.118835,0.07079,0.143474
587733609092088938,3226,40,4,126,1130,3,250.01642592,36.44935402,24.084929,23.181391,21.516899,21.346556,20.657591,2.140824,0.339138,0.127845,0.159374,0.398604
587733609092089161,3226,40,4,126,1353,6,250.03315801,36.4564301,22.27026,24.974001,22.64097,21.82056,21.554386,0.406474,0.685929,0.240299,0.167628,0.552853
587733609092087854,3226,40,4,126,46,6,250.02026108,36.47572633,17.077307,14.891812,14.086259,14.224747,13.60932,9.655055E-3,3.481218E-3,3.216057E-3,2.503717E-3,4.11331E-3
587733609092087856,3226,40,4,126,48,3,250.01996249,36.472848,22.549433,22.989916,21.89123,21.604561,20.841415,0.628354,0.244639,0.152502,0.172758,0.389061
587733609092087857,3226,40,4,126,49,3,250.02156995,36.47389331,23.327221,22.718136,23.204456,24.513973,23.006094,1.097958,0.178734,0.436471,0.969152,1.120704
587733609092087858,3226,40,4,126,50,3,250.0239279,36.47341943,25.806656,22.670311,22.953068,22.725481,21.992043,1.352452,0.211966,0.417982,0.493136,1.025494
587733609092088088,3226,40,4,126,280,3,250.03044172,36.47177404,21.460186,19.857382,18.661867,18.195002,17.878328,0.280995,0.023141,0.013341,0.012296,0.035664
587733609092088267,3226,40,4,126,459,3,250.0161269,36.44528996,22.087734,20.353497,18.793159,18.149317,17.802311,0.789696,0.048639,0.024686,0.017507,0.054394
587733609092088468,3226,40,4,126,660,3,250.0026541,36.45547329,21.636351,20.696241,19.960293,19.791254,20.144711,0.440248,0.055655,0.045724,0.056974,0.364205
587733609092088490,3226,40,4,126,682,3,250.00898255,36.44806064,24.951538,22.510128,22.318466,22.032824,21.195724,2.025279,0.164235,0.223152,0.252259,0.535025
587733609092088500,3226,40,4,126,692,3,250.03979995,36.46459079,22.598196,21.368111,20.720703,20.532715,20.035063,0.654055,0.061445,0.055302,0.067002,0.193961
587733609092088520,3226,40,4,126,712,3,250.02074408,36.44657523,22.971622,21.466928,20.597727,20.481615,20.361462,1.862062,0.138567,0.10197,0.134973,0.579909
587733609092088521,3226,40,4,126,713,3,250.0395087,36.45741885,22.495522,21.653351,21.220287,21.15963,23.811489,0.9206,0.121319,0.131943,0.184533,1.440352
587733609092088911,3226,40,4,126,1103,3,250.00987334,36.47240231,25.896225,22.881105,21.570574,21.083534,20.851826,1.422805,0.268678,0.137127,0.129878,0.476749
587733609092088929,3226,40,4,126,1121,6,250.00675248,36.45349106,25.382017,24.370119,22.478659,22.676388,21.944908,1.344352,0.52724,0.199441,0.331411,0.678465
587733609092088930,3226,40,4,126,1122,3,250.00465789,36.45141677,23.75502,23.685251,22.144543,22.373117,21.584587,1.448736,0.400936,0.174962,0.306162,0.64666
587733609092088951,3226,40,4,126,1143,3,250.04094913,36.45283585,26.555536,24.056374,22.155516,21.326929,21.151873,0.693593,0.589178,0.197143,0.135535,0.527295
587733609092089167,3226,40,4,126,1359,3,250.03809149,36.45141365,22.351868,23.394972,22.630575,21.894287,22.943375,0.467289,0.304388,0.257406,0.194185,1.06652
587733609092087855,3226,40,4,126,47,6,250.01869623,36.4773573,24.411343,23.4786,22.787628,22.423355,20.861898,1.634747,0.284927,0.261941,0.272878,0.293774
587733609092087911,3226,40,4,126,103,6,250.00899063,36.44476424,18.426548,16.696375,16.020866,15.770926,15.644996,0.020194,4.222411E-3,3.785452E-3,3.984184E-3,6.70888E-3
587733609092087912,3226,40,4,126,104,6,250.00843219,36.44315553,23.837122,21.591711,21.176155,20.952871,20.467625,1.412533,0.063196,0.069399,0.080818,0.23435
587733609092087918,3226,40,4,126,110,6,250.04862557,36.45259126,23.59833,22.511738,21.812372,21.391911,21.055315,1.136163,0.125891,0.110728,0.108232,0.344775
587733609092088075,3226,40,4,126,267,6,250.01132618,36.48012255,20.330856,19.381271,19.101208,18.983032,19.063217,0.078024,0.012628,0.01371,0.016084,0.062719
587733609092088077,3226,40,4,126,269,6,250.00231095,36.4668133,22.126886,19.921146,18.52919,17.693016,17.246445,0.345067,0.017684,9.598284E-3,7.349354E-3,0.016027
587733609092088092,3226,40,4,126,284,6,250.04580488,36.47039166,20.070175,19.880013,19.47588,19.595316,19.739466,0.062805,0.01719,0.017481,0.024664,0.110525
587733609092088094,3226,40,4,126,286,6,250.04837503,36.46869338,20.367872,19.465855,19.190752,19.047091,19.008564,0.079971,0.013211,0.014393,0.016676,0.060223
587733609092088106,3226,40,4,126,298,6,250.02912416,36.4398406,23.479338,20.688517,19.126659,17.657282,16.862108,1.04398,0.029342,0.013807,7.215087E-3,0.012667
587733609092088262,3226,40,4,126,454,3,250.01638889,36.48022757,26.478548,21.185562,19.713224,19.085728,18.907814,0.755526,0.054,0.024996,0.020991,0.074068
587733609092088265,3226,40,4,126,457,6,250.00258784,36.44685973,23.619095,21.609148,20.18482,19.343962,18.948652,1.15513,0.059865,0.029887,0.020593,0.057529
587733609092088342,3226,40,4,126,534,3,250.03536345,36.47335491,21.265846,21.734974,21.02207,20.922718,20.701231,0.198888,0.082047,0.070433,0.092941,0.343352
587733609092088344,3226,40,4,126,536,6,250.04724222,36.45666543,21.678406,26.531424,24.666101,25.197504,22.528669,0.241459,0.332156,0.84721,0.633326,0.903403
587733609092088419,3226,40,4,126,611,6,250.00238544,36.47570447,26.129438,21.924812,20.925858,20.495117,20.225174,0.778895,0.076751,0.052518,0.050794,0.169079
587733609092088441,3226,40,4,126,633,3,249.99778751,36.46500654,23.054707,22.365234,21.561144,21.238987,22.228523,1.378781,0.211408,0.167594,0.183947,1.619595
587733609092088477,3226,40,4,126,669,3,250.04315224,36.47467006,22.788666,21.602497,20.209425,19.707083,19.225323,1.094566,0.109198,0.051285,0.048997,0.145484
587733609092088485,3226,40,4,126,677,3,250.03806458,36.47102625,21.99016,21.476267,19.821413,19.280224,18.845434,0.772572,0.135517,0.051215,0.046358,0.148646
587733609092088488,3226,40,4,126,680,6,250.00069705,36.44427829,22.404301,22.053967,21.691919,21.388834,20.955757,0.457176,0.091497,0.106852,0.116881,0.344647
587733609092088493,3226,40,4,126,685,3,250.04301652,36.46839419,22.473133,22.056255,21.53368,21.252127,20.451447,0.520906,0.098293,0.09992,0.111805,0.24454
587733609092088503,3226,40,4,126,695,3,250.04529823,36.46735825,25.508276,22.863983,21.340502,20.569752,21.598047,1.843121,0.265882,0.111994,0.082749,0.891237
587733609092088532,3226,40,4,126,724,3,250.0483035,36.45792456,22.241331,21.925985,21.64797,21.250532,22.097174,0.465225,0.095778,0.119892,0.121499,0.961199
587733609092088539,3226,40,4,126,731,3,250.03121301,36.44351245,25.13427,22.387598,20.600525,19.985504,19.71435,2.094105,0.166213,0.055642,0.047157,0.167973
587733609092088542,3226,40,4,126,734,3,250.03468399,36.44520265,23.771679,22.384464,21.860731,21.755249,21.220678,1.578693,0.144793,0.147177,0.192915,0.536414
587733609092088544,3226,40,4,126,736,6,250.03746784,36.44648763,23.811949,22.573692,21.820255,21.70476,21.476976,1.305398,0.13284,0.111654,0.142453,0.482778
587733609092088546,3226,40,4,126,738,3,250.02429582,36.43702675,22.8536,21.804861,21.046135,20.736237,20.156256,0.783785,0.087261,0.072046,0.078432,0.211128
587733609092088946,3226,40,4,126,1138,6,250.01429219,36.43973066,22.312801,23.063929,21.963737,21.683676,21.451221,0.469893,0.241492,0.15129,0.169442,0.603004
587733609092088947,3226,40,4,126,1139,6,250.01502747,36.43847675,23.661802,24.460793,25.650082,22.015968,20.99614,1.194304,0.755607,0.633885,0.190025,0.339218
587733609092088959,3226,40,4,126,1151,6,250.03651354,36.44431007,23.966896,23.504068,22.356108,22.269169,22.254488,1.419984,0.289055,0.178948,0.232089,0.795858
587733609092089141,3226,40,4,126,1333,3,250.01104912,36.47672634,23.219982,24.189449,22.686567,21.081013,20.429693,1.065407,0.619709,0.302929,0.106715,0.272454
587733609092089142,3226,40,4,126,1334,6,250.00727485,36.4728303,25.390993,25.365582,24.322989,21.951338,22.158106,1.424625,0.69042,0.825347,0.196084,0.850571
587733609092089143,3226,40,4,126,1335,3,250.01574528,36.47740465,20.249601,23.018038,20.465427,19.18763,26.882057,0.631547,2.30128,0.358361,0.16775,0.59076
587733609092089148,3226,40,4,126,1340,6,249.99856241,36.45544455,25.251326,23.851978,23.559454,22.010952,21.703016,1.457548,0.385455,0.490408,0.19168,0.589412
587733609092087837,3226,40,4,126,29,6,250.01080452,36.4869908,15.799813,14.635863,14.186137,14.481024,13.910009,5.503653E-3,3.424049E-3,3.183954E-3,4.24642E-3,4.280593E-3
587733609092087838,3226,40,4,126,30,3,250.01227474,36.48410856,21.928358,20.959055,19.193693,18.389793,18.123886,0.744443,0.088902,0.030147,0.021978,0.077932
587733609092087839,3226,40,4,126,31,3,250.01478484,36.48687864,22.53083,23.72468,24.442492,21.52733,21.858097,0.919737,0.731068,1.649194,0.250278,1.518278
587733609092087840,3226,40,4,126,32,3,250.0085739,36.48478758,23.503395,22.634066,23.278742,21.75861,21.303547,1.392972,0.190031,0.541988,0.217879,0.618385
587733609092087908,3226,40,4,126,100,6,250.05037323,36.47251087,19.192841,17.357117,16.669022,16.408522,16.291042,0.03349,5.124218E-3,4.397104E-3,4.591787E-3,9.140501E-3
587733609092087917,3226,40,4,126,109,6,250.0505471,36.4508897,18.078249,16.949533,16.579659,16.437513,16.412273,0.016597,4.467791E-3,4.239552E-3,4.563524E-3,9.603685E-3
587733609092087923,3226,40,4,126,115,6,250.03954054,36.43538716,15.550596,14.342368,13.519015,13.37401,13.204181,5.417114E-3,9.150218E-3,5.781339E-3,1.599766E-3,4.428111E-3
587733609092087924,3226,40,4,126,116,6,250.04454152,36.43434798,22.890591,19.840843,18.521688,17.877928,17.550713,0.652557,0.016326,9.378265E-3,7.918369E-3,0.019428
587733609092087925,3226,40,4,126,117,3,250.04237142,36.43282213,20.958189,20.236387,19.153538,18.728434,18.310549,0.250105,0.038554,0.02418,0.023293,0.072035
587733609092087926,3226,40,4,126,118,3,250.03864382,36.43883047,22.139629,21.348305,20.12167,19.350588,19.282717,1.023014,0.14099,0.075777,0.055678,0.258473
587733609092087927,3226,40,4,126,119,3,250.03948324,36.44073282,20.960831,21.328901,20.273739,20.007515,19.601501,0.233668,0.093535,0.058688,0.067092,0.221678
587733609092087929,3226,40,4,126,121,3,250.04406567,36.43680311,21.133877,22.559423,25.099672,20.147884,23.931494,0.735772,0.779376,4.704063,0.20529,3.930593
587733609092088069,3226,40,4,126,261,6,249.9986872,36.47952479,21.707922,20.485752,20.02903,19.886293,19.745972,0.246597,0.025968,0.026648,0.031644,0.114949
587733609092088070,3226,40,4,126,262,6,249.98932813,36.47254255,21.830206,20.337542,19.781727,19.532104,19.54986,0.267577,0.023227,0.021834,0.023981,0.095892
587733609092088072,3226,40,4,126,264,6,250.00174786,36.47997233,21.603489,20.243641,19.713396,19.493641,19.217987,0.222608,0.021401,0.020382,0.022808,0.07101
587733609092088073,3226,40,4,126,265,6,250.00324917,36.48080593,23.052383,23.818853,22.088018,21.62318,21.065948,0.765135,0.373527,0.142954,0.135781,0.351165
587733609092088087,3226,40,4,126,279,6,249.99092169,36.44776274,22.108095,20.265558,19.176865,18.720747,18.494419,0.330061,0.02201,0.014307,0.013256,0.039225
587733609092088090,3226,40,4,126,282,6,250.05201864,36.47579995,20.785234,20.620775,20.43021,20.249638,20.141058,0.112452,0.02857,0.035352,0.041944,0.161214
587733609092088095,3226,40,4,126,287,6,250.00387566,36.43803937,22.828775,20.765263,20.17555,19.887365,19.735699,0.611736,0.032782,0.028767,0.0304,0.110657
587733609092088096,3226,40,4,126,288,3,250.00121562,36.43205698,21.063505,19.324926,18.524384,18.149,17.830011,0.25392,0.018816,0.017386,0.019011,0.045284
587733609092088097,3226,40,4,126,289,6,250.05217967,36.46206008,21.209652,20.236403,19.899906,19.676929,19.731493,0.161966,0.021943,0.024122,0.027394,0.113691
587733609092088099,3226,40,4,126,291,6,250.05531349,36.46207714,22.641094,20.749311,19.760767,19.405359,19.19228,0.535634,0.030907,0.021637,0.021507,0.069396
587733609092088109,3226,40,4,126,301,6,250.01977734,36.43118531,19.786217,17.892975,17.165401,16.912176,16.787661,0.051018,6.052342E-3,5.081099E-3,5.300442E-3,0.012343
587733609092088112,3226,40,4,126,304,6,250.02953951,36.43040582,20.461555,19.568174,19.305218,19.18556,19.060278,0.083634,0.014046,0.015327,0.017972,0.062042
587733609092088116,3226,40,4,126,308,6,250.0550823,36.44401012,20.820692,19.247856,18.585064,18.341545,18.235226,0.114031,0.011648,9.962462E-3,0.010437,0.033748
587733609092088269,3226,40,4,126,461,6,250.05161675,36.45537127,23.624407,21.212593,19.924744,19.34543,19.096783,1.155209,0.043316,0.023893,0.021186,0.063845
587733609092088318,3226,40,4,126,510,6,249.9941374,36.44972025,22.652845,21.816074,20.563753,19.735281,19.396854,0.543867,0.071049,0.039143,0.02764,0.08401
587733609092088341,3226,40,4,126,533,3,250.00542765,36.48794772,20.335136,19.564064,19.23963,19.02799,18.807077,0.171394,0.02714,0.030396,0.03721,0.142045
587733609092088345,3226,40,4,126,537,3,250.05897013,36.45709458,20.602512,26.621227,23.653746,26.10836,25.406397,0.224277,0.879347,1.455608,0.901146,0.51927
587733609092088404,3226,40,4,126,596,6,249.99764004,36.48320982,23.572521,22.86912,21.785284,21.226074,20.220768,1.478807,0.232942,0.145169,0.128463,0.234965
587733609092088405,3226,40,4,126,597,3,250.00152593,36.48342895,22.780048,21.358271,20.513599,20.26053,20.193644,0.973605,0.078127,0.05935,0.068854,0.300502
587733609092088414,3226,40,4,126,606,3,249.98751403,36.47087133,24.940935,22.837061,21.930735,22.097103,20.730959,2.189129,0.237134,0.172281,0.293374,0.390725
587733609092088418,3226,40,4,126,610,3,249.99630882,36.47142973,22.945175,20.271351,19.549257,19.101383,19.061954,1.50174,0.042693,0.034887,0.035061,0.153359
587733609092088430,3226,40,4,126,622,3,250.01815026,36.48334229,22.509636,22.364422,21.329678,20.506649,20.949625,0.756637,0.187,0.121051,0.085314,0.582489
587733609092088431,3226,40,4,126,623,3,250.02722627,36.48662143,22.130257,21.398413,19.661253,18.993368,18.600321,0.580956,0.086424,0.030336,0.024637,0.078373
587733609092088443,3226,40,4,126,635,3,250.03401229,36.48599424,25.063345,22.566353,21.12254,20.727491,20.318367,1.965884,0.173207,0.07857,0.080287,0.251917
587733609092088444,3226,40,4,126,636,3,250.03179114,36.48584077,22.288,22.060261,20.872765,20.289919,20.158648,0.644251,0.149516,0.08394,0.07324,0.305834
587733609092088458,3226,40,4,126,650,6,250.03663648,36.48448038,25.936699,22.653526,21.024551,20.258106,19.713966,0.994992,0.155368,0.061319,0.044832,0.120333
587733609092088498,3226,40,4,126,690,6,249.99777987,36.43816864,23.236179,22.446718,21.044777,20.662678,20.086184,0.880626,0.124227,0.059548,0.060118,0.157493
587733609092088499,3226,40,4,126,691,3,250.00028175,36.43944242,22.276112,21.200127,20.696468,20.294489,20.233381,0.527222,0.059001,0.059747,0.06091,0.26644
587733609092088541,3226,40,4,126,733,3,250.06063785,36.46136965,22.142263,21.628338,20.483677,20.078257,19.729862,0.49975,0.089856,0.052516,0.053161,0.178254
587733609092088556,3226,40,4,126,748,3,250.04227544,36.44238712,22.612082,22.535971,22.736584,22.115723,22.889025,0.65602,0.165994,0.323509,0.267259,1.231505
587733609092088560,3226,40,4,126,752,3,250.02311456,36.42780883,23.151121,22.063442,20.843121,20.251997,19.706888,1.247712,0.138979,0.075396,0.06527,0.188568
587733609092088565,3226,40,4,126,757,3,250.04320162,36.43933066,26.274744,21.998587,23.044359,21.956873,22.769016,1.395996,0.16594,0.670416,0.371359,2.051633
587733609092088566,3226,40,4,126,758,6,250.03373067,36.43288859,23.019445,21.477985,20.847576,20.740105,20.938576,0.773395,0.056637,0.051748,0.065674,0.342016
587733609092088570,3226,40,4,126,762,3,250.02885402,36.4278973,26.131205,22.149254,21.11055,20.897724,20.79077,1.091019,0.131827,0.085648,0.103028,0.426673
587733609092088571,3226,40,4,126,763,3,250.05758039,36.44584981,21.089098,21.300526,20.883478,20.796755,20.295549,0.345578,0.122711,0.131974,0.18223,0.564555
587733609092088576,3226,40,4,126,768,6,250.05240271,36.4396484,23.249161,21.240829,20.689806,20.474327,20.759829,0.887019,0.044606,0.04311,0.049648,0.271702
587733609092088904,3226,40,4,126,1096,3,250.0208026,36.48469843,22.465605,22.722013,21.744097,21.31749,20.411146,0.810737,0.277814,0.189282,0.189707,0.383729
587733609092088906,3226,40,4,126,1098,6,249.98708993,36.46262464,24.612141,23.533546,22.294764,20.848677,19.927006,2.052347,0.380335,0.228413,0.08434,0.168904
587733609092088915,3226,40,4,126,1107,6,249.98577911,36.45181462,22.911385,24.200666,22.045235,21.097158,20.463505,0.665887,0.485982,0.138353,0.085965,0.212451
587733609092088917,3226,40,4,126,1109,6,249.98956712,36.45216583,26.659613,22.864458,21.264387,21.401419,21.277567,1.101653,0.388041,0.151912,0.256519,1.02876
587733609092088933,3226,40,4,126,1125,3,249.99079257,36.44013193,23.706367,23.332397,21.676401,21.414316,22.743031,2.102798,0.463774,0.176447,0.204084,1.792884
587733609092088935,3226,40,4,126,1127,6,249.99837256,36.44305891,24.223648,23.793287,21.600698,20.977474,20.39673,2.047164,0.489834,0.122874,0.102147,0.271796
587733609092088940,3226,40,4,126,1132,3,250.00104666,36.43463178,27.671539,21.933378,20.736591,20.440474,20.902283,0.722789,0.277525,0.151466,0.171586,1.253693
587733609092088963,3226,40,4,126,1155,6,250.04533255,36.44559744,24.735868,23.544485,22.573586,22.064716,21.499952,1.665411,0.297578,0.214531,0.194884,0.491583
587733609092088964,3226,40,4,126,1156,6,250.02085215,36.42745497,26.248852,23.767416,22.216448,22.058331,21.911783,0.737962,0.3699,0.16386,0.201219,0.702434
587733609092088966,3226,40,4,126,1158,3,250.04811683,36.44184706,26.810497,23.62508,21.486183,20.51755,20.342117,0.583842,0.464185,0.116031,0.071886,0.284806
587733609092089146,3226,40,4,126,1338,6,249.99398183,36.45268642,22.979454,23.904457,22.950287,21.762869,23.842159,0.748229,0.42347,0.319873,0.16476,0.682409
587733609092089147,3226,40,4,126,1339,6,250.04154824,36.48282205,23.538851,23.829891,23.454002,21.686144,21.007322,1.121053,0.383853,0.461719,0.146362,0.345981
587733609092089151,3226,40,4,126,1343,3,250.04095559,36.47938602,22.846844,23.637159,22.338568,21.568586,21.707043,0.806539,0.42387,0.229017,0.16845,0.786141
587733609092089171,3226,40,4,126,1363,6,250.03110721,36.43668345,25.315174,23.544558,23.796974,21.398832,20.341488,1.469424,0.328697,0.625402,0.118864,0.209914
587733609092089267,3226,40,4,126,1459,6,250.00963638,36.43268118,24.526098,25.48613,25.309521,25.233385,20.292549,1.657006,0.608518,0.73808,0.594648,0.179558
587733609092089289,3226,40,4,126,1481,3,250.05494856,36.46723962,24.294809,23.247627,22.819117,22.176012,21.783005,1.898579,0.291037,0.327736,0.268545,0.762596
587733604806099173,3225,40,4,263,229,6,250.06460104,36.48439542,19.162706,17.27018,16.5194,16.336748,16.249218,0.027711,4.958739E-3,4.685741E-3,5.12825E-3,8.850215E-3
587733604806099611,3225,40,4,263,667,6,250.04856334,36.49570915,21.409336,20.562269,20.221525,19.988605,19.970465,0.134664,0.024952,0.023872,0.027665,0.121796
587733604806099729,3225,40,4,263,785,3,250.06994219,36.48244566,21.711855,19.645248,18.647894,18.180889,17.848089,0.365003,0.02173,0.013919,0.01425,0.04522
587733604806099802,3225,40,4,263,858,6,250.07250707,36.47159411,23.284855,20.644018,19.249914,18.462912,18.098495,0.612068,0.028459,0.018048,0.016007,0.030759
587733604806100070,3225,40,4,263,1126,6,250.05525136,36.49691019,22.257027,21.160995,20.615017,20.363953,20.06357,0.275723,0.038114,0.032335,0.037994,0.139805
587733604806100086,3225,40,4,263,1142,6,250.06888578,36.47875992,23.163836,21.976519,20.709276,20.002975,19.621878,0.561016,0.070727,0.033622,0.027604,0.090772
587733604806100087,3225,40,4,263,1143,6,250.06709716,36.47880814,23.678322,21.861347,20.631073,20.077019,19.795729,0.842731,0.066324,0.032738,0.030316,0.109754
587733604806100088,3225,40,4,263,1144,3,250.06797683,36.47995149,23.258699,22.550014,21.550924,21.082739,20.523033,0.923856,0.164879,0.103196,0.109263,0.311687
587733604806100089,3225,40,4,263,1145,6,250.06998814,36.47918105,23.017174,23.442915,22.829058,23.229734,22.035372,0.527144,0.2462,0.199206,0.404298,0.743334
587733604806100167,3225,40,4,263,1223,6,250.07795671,36.46519264,23.397953,22.473024,21.195154,19.788971,19.079748,0.672824,0.106923,0.048946,0.023707,0.057685
587733604806100188,3225,40,4,263,1244,3,250.05676653,36.48672307,25.239134,25.394478,23.222631,21.692638,20.715895,0.971505,0.52891,0.26162,0.109674,0.233049
587733604806100191,3225,40,4,263,1247,6,250.05690092,36.48705662,22.189295,25.242739,25.0231,24.655828,22.500048,0.259412,0.544123,0.547924,0.576367,0.770293
587733604806100582,3225,40,4,263,1638,3,250.05061123,36.49465074,23.164082,22.962936,21.871138,21.730062,21.815483,0.704825,0.19752,0.105582,0.144885,0.707531
587733604806100640,3225,40,4,263,1696,6,250.0596554,36.48739115,22.090309,21.195765,21.032469,20.860426,20.570259,0.244612,0.039132,0.044542,0.056606,0.214767
587733604806100734,3225,40,4,263,1790,3,250.07502321,36.47574443,26.138304,22.22316,21.355822,21.059523,20.669397,0.7444,0.121851,0.077499,0.095017,0.331347
587733604806101126,3225,40,4,263,2182,6,250.04620964,36.49633623,23.674667,23.848309,22.627489,21.950319,21.929581,0.892573,0.355693,0.178312,0.154182,0.661508
587733604806101145,3225,40,4,263,2201,6,250.05005188,36.49301557,25.379808,23.737728,22.937513,22.103144,22.88195,1.016112,0.332123,0.236987,0.180889,0.919287
587733604806101220,3225,40,4,263,2276,6,250.07636309,36.47234964,23.016901,23.712868,22.269291,21.385559,20.782137,0.568905,0.329093,0.134255,0.095983,0.281289
587733604806101224,3225,40,4,263,2280,3,250.07825501,36.46750195,24.468699,23.115797,22.422483,21.3508,21.052195,1.275029,0.203569,0.154483,0.094799,0.356777
587733609092022638,3226,40,4,125,366,6,249.99121496,36.49637113,20.934628,18.870552,18.078625,17.767426,17.599016,0.127753,9.548147E-3,7.651541E-3,7.665778E-3,0.020596
587733609092022769,3226,40,4,125,497,3,249.97619895,36.48852677,20.399998,25.402611,25.064934,25.16777,21.022713,0.200108,1.936625,2.453526,1.952547,1.079722
587733609092023301,3226,40,4,125,1029,3,249.99781798,36.50120755,23.11797,22.61622,21.743649,21.764891,21.74461,0.822219,0.137755,0.109309,0.158349,0.597184
587733609092023306,3226,40,4,125,1034,6,249.97017056,36.48270966,22.807701,21.438536,21.034952,20.940069,20.759287,0.624459,0.05286,0.060155,0.077077,0.27179
587733609092023309,3226,40,4,125,1037,3,249.9832512,36.48691719,24.731146,22.641687,22.5338,21.692404,21.346092,1.966143,0.169544,0.258689,0.175285,0.536071
587733609092023311,3226,40,4,125,1039,6,249.97590525,36.48142562,22.533537,21.699694,20.688356,20.605034,20.691946,0.531475,0.070196,0.048519,0.062775,0.285671
587733609092023312,3226,40,4,125,1040,3,249.96527969,36.4745167,22.489664,21.894072,21.154459,20.572102,21.18721,0.764174,0.128892,0.110768,0.096401,0.71704
587733609092023514,3226,40,4,125,1242,3,249.99633614,36.49850135,24.743933,22.795734,20.862877,20.273491,19.857973,2.287591,0.224586,0.068705,0.059053,0.179566
587733609092023517,3226,40,4,125,1245,6,249.99152146,36.49181985,22.683271,23.772491,22.380648,22.723125,21.03949,0.601081,0.38267,0.202437,0.380576,0.372392
587733609092023653,3226,40,4,125,1381,3,250.00301732,36.49778897,22.611143,24.567154,23.382914,21.6665,23.689676,0.613203,0.695804,0.521072,0.171018,0.862445
